study,p,H_level,h_level,ell,fine_dofs,H,h,exact_energy,exact_l2,fine_energy,fine_l2,lod_fine_energy,lod_fine_l2,delta,rate_energy,rate_l2,petrov_residual,corrector_residual,constraint_residual,corrector_threads,solver,schur_residual,schur_rcond,direct_fallbacks
H,2,4,14,3,66049,0.353553390593,0.011048543456,0.841621773849,0.0552957059865,0.000585975585602,7.36021631228e-07,0.841621547089,0.0552956951282,nan,nan,nan,4.66484611204e-14,6.38731063446e-14,4.70007830991e-16,8,schur,5.45584101201e-16,0.0663603367357,0
H,2,6,14,3,66049,0.176776695297,0.011048543456,0.278174700198,0.00829185712587,0.000585975585602,7.36021631228e-07,0.278174074921,0.00829184858825,nan,1.59718081581,2.73740028847,7.2649344528e-14,9.12140705565e-14,7.83511715775e-16,8,schur,7.69696244718e-16,0.000649059776669,0
H,2,8,14,3,66049,0.0883883476483,0.011048543456,0.0775943669344,0.00101594223629,0.000585975585602,7.36021631228e-07,0.0775921521458,0.00101593676623,nan,1.84196738673,3.02887688136,1.56057570242e-13,3.20916656055e-14,5.94876034312e-16,8,schur,6.11781315628e-16,0.000722763485555,0
